,Subject,maxBurst_SHA01,meanInterval_SHA01,meanNumRewards_SHA01,modeInterval_SHA01,numBurst_SHA01,pctRewards_SHA01,stdInterval_SHA01,maxBurst_SHA02,meanInterval_SHA02,meanNumRewards_SHA02,modeInterval_SHA02,numBurst_SHA02,pctRewards_SHA02,stdInterval_SHA02,maxBurst_SHA03,meanInterval_SHA03,meanNumRewards_SHA03,modeInterval_SHA03,numBurst_SHA03,pctRewards_SHA03,stdInterval_SHA03,maxBurst_SHA04,meanInterval_SHA04,meanNumRewards_SHA04,modeInterval_SHA04,numBurst_SHA04,pctRewards_SHA04,stdInterval_SHA04,maxBurst_SHA05,meanInterval_SHA05,meanNumRewards_SHA05,modeInterval_SHA05,numBurst_SHA05,pctRewards_SHA05,stdInterval_SHA05,maxBurst_SHA06,meanInterval_SHA06,meanNumRewards_SHA06,modeInterval_SHA06,numBurst_SHA06,pctRewards_SHA06,stdInterval_SHA06,maxBurst_SHA07,meanInterval_SHA07,meanNumRewards_SHA07,modeInterval_SHA07,numBurst_SHA07,pctRewards_SHA07,stdInterval_SHA07,maxBurst_SHA08,meanInterval_SHA08,meanNumRewards_SHA08,modeInterval_SHA08,numBurst_SHA08,pctRewards_SHA08,stdInterval_SHA08,maxBurst_SHA09,meanInterval_SHA09,meanNumRewards_SHA09,modeInterval_SHA09,numBurst_SHA09,pctRewards_SHA09,stdInterval_SHA09,maxBurst_SHA10,meanInterval_SHA10,meanNumRewards_SHA10,modeInterval_SHA10,numBurst_SHA10,pctRewards_SHA10,stdInterval_SHA10,maxBurst_SHA11,meanInterval_SHA11,meanNumRewards_SHA11,modeInterval_SHA11,numBurst_SHA11,pctRewards_SHA11,stdInterval_SHA11
10,F811,0.0,1173.5,0.0,684.0,0.0,0.0,489.5,3.0,299.43,2.29,67.0,7.0,67.0,325.35,3.0,319.09,2.33,43.0,9.0,91.0,393.45,3.0,455.6,2.33,20.0,6.0,88.0,663.51,3.0,616.5,2.25,1248.0,4.0,82.0,877.78,4.0,229.79,2.43,27.0,7.0,59.0,236.66,3.0,317.48,2.25,27.0,4.0,41.0,361.81,3.0,184.81,2.38,24.0,13.0,82.0,232.82,4.0,172.32,2.19,122.0,16.0,83.0,254.28,3.0,181.0,2.08,73.0,13.0,68.0,166.23,,,,,,,
11,F812,0.0,,0.0,,0.0,0.0,,2.0,249.14,2.0,55.0,1.0,25.0,155.48,0.0,463.5,0.0,124.0,0.0,0.0,531.61,0.0,1421.0,0.0,939.0,0.0,0.0,1861.4,0.0,,0.0,,0.0,0.0,,3.0,138.28,2.29,106.0,17.0,76.0,140.29,3.0,136.9,2.28,66.0,18.0,77.0,115.97,4.0,82.09,2.43,44.0,30.0,90.0,50.27,5.0,77.65,3.04,24.0,27.0,89.0,66.63,4.0,88.43,2.41,49.0,27.0,81.0,48.87,,,,,,,
12,F813,0.0,,0.0,,0.0,,,2.0,675.5,2.0,2639.0,3.0,55.00000000000001,956.57,2.0,181.08,2.0,24.0,10.0,51.0,98.33,3.0,136.13,2.22,109.0,18.0,75.0,115.49,3.0,140.86,2.19,45.0,16.0,69.0,92.27,3.0,158.18,2.09,173.0,11.0,50.0,84.16,3.0,143.84,2.08,118.0,13.0,54.0,51.43,5.0,116.16,2.26,21.0,19.0,69.0,61.95,4.0,160.59,2.38,142.0,8.0,42.0,82.8,3.0,134.36,2.07,93.0,14.0,54.0,58.89,,,,,,,
13,F814,3.0,1139.2,3.0,29.0,1.0,50.0,1382.31,0.0,599.0,0.0,599.0,0.0,0.0,0.0,0.0,927.67,0.0,300.0,0.0,0.0,567.17,2.0,1102.0,2.0,2970.0,1.0,28.999999999999996,911.5,2.0,1315.5,2.0,456.0,1.0,40.0,1360.39,2.0,636.0,2.0,196.0,1.0,17.0,631.73,3.0,223.9,2.11,207.0,9.0,59.0,207.15,3.0,417.6,2.17,33.0,6.0,81.0,677.37,3.0,174.14,2.4,30.0,10.0,65.0,145.69,4.0,187.11,2.3,53.0,10.0,61.0,154.78,,,,,,,
14,F815,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,2.0,94.0,2.0,94.0,1.0,100.0,0.0,0.0,1541.67,0.0,442.0,0.0,0.0,992.04,,,,,,,
15,F816,0.0,,0.0,,0.0,,,2.0,584.5,2.0,60.0,2.0,80.0,504.08,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,3413.5,0.0,3915.0,0.0,0.0,501.5,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,3.0,207.65,2.17,152.0,6.0,54.0,319.53,3.0,265.71,2.2,20.0,5.0,44.0,216.24,,,,,,,
16,F902,0.0,,0.0,,0.0,,,2.0,1559.0,2.0,3094.0,1.0,67.0,1535.0,0.0,,0.0,,0.0,0.0,,0.0,245.0,0.0,245.0,0.0,0.0,0.0,2.0,103.0,2.0,31.0,1.0,67.0,72.0,2.0,264.0,2.0,87.0,2.0,100.0,290.08,0.0,,0.0,,0.0,0.0,,0.0,2133.67,0.0,3474.0,0.0,0.0,1408.14,3.0,1119.4,2.5,72.0,2.0,83.0,1688.58,2.0,383.73,2.0,33.0,4.0,67.0,572.13,,,,,,,
17,F904,0.0,,0.0,,0.0,0.0,,2.0,85.0,2.0,85.0,1.0,100.0,0.0,0.0,,0.0,,0.0,,,2.0,685.5,2.0,20.0,1.0,67.0,665.5,0.0,,0.0,,0.0,,,3.0,275.42,2.25,39.0,8.0,67.0,445.74,3.0,192.32,2.15,69.0,13.0,74.0,152.78,3.0,202.09,2.14,135.0,7.0,43.0,152.63,3.0,212.88,2.2,199.0,5.0,32.0,144.38,2.0,293.65,2.0,45.0,2.0,17.0,146.7,,,,,,,
18,F905,2.0,1540.0,2.0,69.0,1.0,67.0,1471.0,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,
19,F906,0.0,1414.0,0.0,1414.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,2.0,20.0,2.0,20.0,1.0,100.0,0.0,2.0,779.67,2.0,59.0,1.0,50.0,513.86,3.0,542.0,2.33,864.0,3.0,78.0,654.82,2.0,935.67,2.0,2605.0,1.0,50.0,1180.41,2.0,322.11,2.0,58.0,6.0,60.0,281.95,,,,,,,
